Words shared by at least 6 categories (frequency per category):
---------------------------------------------------------------
object: Personal Life / Past: 4, Coding: 1504, Digital Media: 12, MBTI: 40, psychology: 13, translate: 1281, Transcripts: 54
die: Personal Life / Past: 90, Coding: 34, Digital Media: 13, MBTI: 902, psychology: 221, translate: 673, Transcripts: 879
which: Personal Life / Past: 298, Coding: 228, Digital Media: 45, MBTI: 852, psychology: 406, translate: 370, Transcripts: 470
there: Personal Life / Past: 160, Coding: 157, Digital Media: 31, MBTI: 789, psychology: 432, translate: 287, Transcripts: 771
function: Personal Life / Past: 62, Coding: 876, Digital Media: 11, MBTI: 376, psychology: 162, translate: 694, Transcripts: 404
one: Personal Life / Past: 165, Coding: 373, Digital Media: 90, MBTI: 731, psychology: 298, translate: 363, Transcripts: 554
do: Personal Life / Past: 289, Coding: 219, Digital Media: 75, MBTI: 804, psychology: 297, translate: 235, Transcripts: 649
just: Personal Life / Past: 348, Coding: 119, Digital Media: 34, MBTI: 842, psychology: 285, translate: 209, Transcripts: 717
these: Personal Life / Past: 244, Coding: 198, Digital Media: 42, MBTI: 828, psychology: 400, translate: 384, Transcripts: 442
my: Personal Life / Past: 423, Coding: 158, Digital Media: 24, MBTI: 839, psychology: 210, translate: 350, Transcripts: 504
text: Personal Life / Past: 11, Coding: 1221, Digital Media: 160, MBTI: 46, psychology: 28, translate: 929, Transcripts: 94
might: Personal Life / Past: 453, Coding: 168, Digital Media: 44, MBTI: 861, psychology: 297, translate: 362, Transcripts: 266
them: Personal Life / Past: 316, Coding: 186, Digital Media: 35, MBTI: 812, psychology: 284, translate: 238, Transcripts: 495
into: Personal Life / Past: 243, Coding: 246, Digital Media: 56, MBTI: 755, psychology: 299, translate: 335, Transcripts: 417
because: Personal Life / Past: 300, Coding: 73, Digital Media: 21, MBTI: 882, psychology: 296, translate: 187, Transcripts: 590
message: Personal Life / Past: 11, Coding: 1150, Digital Media: 7, MBTI: 67, psychology: 9, translate: 783, Transcripts: 254
